name,affiliation,country,dept,year,homepage
Yannis Kotidis ,Athens University of Economics and Business,europe,act,2002,http://www.db-net.aueb.gr/kotidis/
Alvin S. Lim ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~lim/
Anthony Skjellum ,Auburn University,usa,hpc,1993,http://www.eng.auburn.edu/research/centers/auburn-cyber-research-center/faculty.html/
Cheryl D. Seals ,Auburn University,usa,chi,2001,http://www.eng.auburn.edu/~sealscd/
Cheryl Denise Seals ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~sealscd/
Cheryl Seals ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~sealscd/
Daniela Marghitu ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~daniela/
David A. Umphress ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~umphress/David_Umphress/DavidUmphress.html/
Dean Hendrix ,Auburn University,usa,#N/A,#N/A,http://www.auburn.edu/~hendrtd/
James H. Cross ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~cross/
James H. Cross II ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~cross/
Jeffrey L. Overbey ,Auburn University,usa,soft,2014,http://jeff.over.bz/
Jeffrey Overbey ,Auburn University,usa,soft,2016,http://jeff.over.bz/
Kai H. Chang ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~kchang/
Kai-Hsiung Chang ,Auburn University,usa,da,1985,http://www.eng.auburn.edu/~kchang/
Levent Yilmaz ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~yilmaz/
N. Hari Narayanan ,Auburn University,usa,ai,1991,http://www.eng.auburn.edu/~naraynh/
Richard Chapman ,Auburn University,usa,plan,1990,https://www.eng.auburn.edu/comp/faculty/
Saad Biaz ,Auburn University,usa,mobile,2006,http://www.eng.auburn.edu/users/sbiaz/
Sanjeev Baskiyar ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~baskiyar/
T. Dean Hendrix ,Auburn University,usa,#N/A,#N/A,http://www.auburn.edu/~hendrtd/
Wei-Shinn Ku ,Auburn University,usa,mod,2010,http://www.eng.auburn.edu/~weishinn/
Xiao Qin ,Auburn University,usa,#N/A,#N/A,http://www.eng.auburn.edu/~xqin/
Adrian Lowe ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/adrian-lowe/
Alistair P. Rendell ,Australian National University,australasia,hpc,2003,https://cs.anu.edu.au/people/alistair-rendell/
Andreas Fell ,Australian National University,australasia,#N/A,#N/A,https://cs.anu.edu.au/people/andreas-fell/
Andres Cuevas ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/andres-cuevas/
Andrew Blakers ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/blakers-aw/
Andrew F. Thomson ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/andrew-thomson/
Anoop Cherian ,Australian National University,australasia,mlmining,2014,https://cecs.anu.edu.au/people/anoop-cherian/
Antonio Tricoli ,Australian National University,australasia,#N/A,#N/A,https://researchers.anu.edu.au/researchers/tricoli-a?term=antonio/
Antony Hosking ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/tony-hosking/
Antony L. Hosking ,Australian National University,australasia,arch,2004,https://cs.anu.edu.au/people/tony-hosking/
Apurv Kumar ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/apurv-kumar/
Armin Haller ,Australian National University,australasia,ir,2007,https://cs.anu.edu.au/people/armin-haller/
Basura Fernando ,Australian National University,australasia,mlmining,2016,http://users.cecs.anu.edu.au/~basura/
Ben Swift ,Australian National University,australasia,chi,2016,https://cs.anu.edu.au/people/ben-swift/
Benjamin Swift ,Australian National University,australasia,chi,2012,https://cecs.anu.edu.au/people/ben-swift/
Bob McKay ,Australian National University,australasia,#N/A,#N/A,https://cecs.anu.edu.au/people/robert-ian-mckay/
Bob Williamson ,Australian National University,australasia,mlmining,2015,http://users.cecs.anu.edu.au/~williams/
Brendan D. McKay ,Australian National University,australasia,act,2002,https://cs.anu.edu.au/people/brendan-mckay/
Brian D. O. Anderson ,Australian National University,australasia,comm,2004,http://users.cecs.anu.edu.au/~briandoa/
